customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,external_id,name,email,segment,status,region,province,city,barangay,service_type,plan_type,notes
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1671.6000000000001,1671.6000000000001,No,,,,SMB,Active,Region II (Cagayan Valley),Batanes,Uyugan,Santa Maria,Fiber,Postpaid,
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,3189.2000000000003,105812.0,No,,,,Residential,Active,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Ungkaya Pukan,Centro,Mobile,Prepaid,
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,3015.6,6056.400000000001,Yes,,,,Startup,Active,Region V (Bicol Region),Masbate,San Pascual,Poblacion,Wireless,Postpaid,
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),2368.7999999999997,103082.0,No,,,,Enterprise,At-Risk,Region XI (Davao Region),Davao Occidental,Malita,Poblacion,Fiber,Business,
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3959.2000000000003,8492.4,Yes,,,,Residential,At-Risk,Region III (Central Luzon),Bulacan,Marilao,San Isidro,Mobile,Business,
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,5580.400000000001,45948.0,Yes,,,,Residential,At-Risk,Region VIII (Eastern Visayas),Southern Leyte,Malitbog,San Roque,Cable,Unlimited,
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),4989.599999999999,109166.40000000001,No,,,,Residential,Active,Region I (Ilocos Region),La Union,Tubao,Mabini,Wireless,Postpaid,
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,1666.0,16906.399999999998,No,,,,Enterprise,At-Risk,Region V (Bicol Region),Camarines Sur,Bula,Santo Nino,Mobile,Business,
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,5868.8,170578.80000000002,Yes,,,,Residential,Active,Region VIII (Eastern Visayas),Leyte,Macarthur,Mabini,Fiber,Family,
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),3144.4,195325.19999999998,No,,,,SMB,At-Risk,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Lumbatan,West,Cable,Family,
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,2797.2000000000003,32897.200000000004,No,,,,Enterprise,Active,Cordillera Administrative Region (CAR),Benguet,City of Baguio,San Roque,DSL,Business,
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1061.2,18300.8,No,,,,Startup,Active,MIMAROPA Region,Romblon,San Agustin,San Vicente,Cable,Business,
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),5619.599999999999,318141.60000000003,No,,,,Startup,At-Risk,Region VI (Western Visayas),Antique,Hamtic,Santa Maria,Wireless,Business,
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5807.2,282032.8,Yes,,,,Residential,Active,Region V (Bicol Region),Camarines Norte,San Vicente,East,Mobile,Prepaid,
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,5908.0,150418.80000000002,No,,,,Startup,At-Risk,Region IV-A (CALABARZON),Quezon,Tiaong,Santa Cruz,Cable,Business,
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),6342.0,442128.39999999997,No,,,,Enterprise,Active,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Hadji Muhtamad,San Isidro,Wireless,Family,
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1156.3999999999999,57285.200000000004,No,,,,SMB,Active,Negros Island Region (NIR),Negros Oriental,City of Bayawan,West,Mobile,Family,
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),5975.2,413406.0,No,,,,SMB,Active,Negros Island Region (NIR),Siquijor,San Juan,San Vicente,Fiber,Family,
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),3091.2000000000003,29587.600000000002,Yes,,,,SMB,Active,Region VII (Central Visayas),Cebu,Alcoy,San Isidro,DSL,Family,
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,5042.8,104322.40000000001,No,,,,SMB,Active,Region V (Bicol Region),Masbate,Balud,Santa Cruz,Cable,Prepaid,
